username,email,password,specialization,sub_specialization,experience_years,cases_handled,location,area,languages_spoken,court_experience,hourly_rate,success_rate,bio,is_available
lawyer_fwagner,lawyer_1@huffman.org,defaultpassword123,Family Law,Adoption,17,208,Lahore,DHA,"Sindhi (Basic), Pashto (Conversational)",District Court,13797,83%,"Help trouble wrong everything quite treatment. Generation admit bit either heart learn.
System my economy much. Leg book day lead front suddenly.

Specializing in adoption cases in Lahore. Handled 208+ cases with 83% success rate.",True
lawyer_sarahlutz,lawyer_2@smith.info,defaultpassword123,Property Law,Rental Issues,12,167,Quetta,Jinnah Town,"English (Fluent), Urdu (Native)","Special Tribunals, Session Court",13383,75%,"Capital thought media. Amount almost arm people expect may black.
Work indeed scientist benefit discover do. Huge ago laugh. Work beautiful within for.
Campaign news first break.

Specializing in rental issues cases in Quetta. Handled 167+ cases with 75% success rate.",False
lawyer_sotolaura,lawyer_3@davis.info,defaultpassword123,Immigration Law,Citizenship,18,479,Peshawar,Hayatabad,"Pashto (Conversational), Sindhi (Basic)","High Court, Special Tribunals, District Court",4830,80%,"Mouth nature me career rule bag positive. Should beyond beyond boy today. Campaign office hear care try mother. Tough parent dark power.

Specializing in citizenship cases in Peshawar. Handled 479+ cases with 80% success rate.",True
lawyer_gward,lawyer_4@willis-jordan.com,defaultpassword123,Criminal Law,Drug Offenses,15,146,Peshawar,University Town,"Punjabi (Conversational), English (Fluent)","District Court, High Court",8585,88%,"Inside easy answer in bit only. Responsibility arm population move including.
Environmental best current ready senior event. Officer human number. Best true step.
Pattern explain later care.

Specializing in drug offenses cases in Peshawar. Handled 146+ cases with 88% success rate.",False
lawyer_kayla69,lawyer_5@schultz-henderson.com,defaultpassword123,Criminal Law,White Collar Crimes,21,155,Islamabad,F-8,"Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)","Special Tribunals, District Court",2079,69%,"Charge until place. World partner political claim paper probably.
Building else player again wonder. Contain ago garden apply full behind father.

Specializing in white collar crimes cases in Islamabad. Handled 155+ cases with 69% success rate.",False
lawyer_heathergutierrez,lawyer_6@garcia.net,defaultpassword123,Family Law,Child Custody,25,456,Peshawar,University Town,"Urdu (Native), English (Fluent)","District Court, Session Court",9595,86%,"Have spring pull another car hear democratic. Lawyer others always. Somebody against you action.
Control road Republican if sister. Chance site difficult study travel song traditional.

Specializing in child custody cases in Peshawar. Handled 456+ cases with 86% success rate.",False
lawyer_laurenmartinez,lawyer_7@morris.info,defaultpassword123,Criminal Law,White Collar Crimes,25,198,Peshawar,Hayatabad,"Sindhi (Basic), Urdu (Native), Punjabi (Conversational)","Session Court, District Court",9194,75%,"Yourself production last safe interest ask. Practice arrive education world deep special use.
Keep green hear use continue level. Country so true between imagine subject.

Specializing in white collar crimes cases in Peshawar. Handled 198+ cases with 75% success rate.",False
lawyer_colemandaniel,lawyer_8@barnett-duffy.com,defaultpassword123,Civil Rights,Police Brutality,16,86,Karachi,Saddar,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",High Court,18010,61%,"Would item interest. Always town seat dog. Nor to enjoy color probably to international away.

Specializing in police brutality cases in Karachi. Handled 86+ cases with 61% success rate.",False
lawyer_cooleymelanie,lawyer_9@moore.com,defaultpassword123,Immigration Law,Visas,6,28,Peshawar,Hayatabad,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Session Court,5454,67%,"Read along popular student next opportunity nor. Ability call send in institution agreement your which.
Give maybe sense what. Special seat positive little base office.

Specializing in visas cases in Peshawar. Handled 28+ cases with 67% success rate.",True
lawyer_jstrickland,lawyer_10@johnson.com,defaultpassword123,Corporate Law,Contracts,12,442,Lahore,Model Town,"Punjabi (Conversational), Sindhi (Basic)",High Court,3425,84%,"State chance add page add child after. Start consumer building responsibility material together. Actually model accept camera.

Specializing in contracts cases in Lahore. Handled 442+ cases with 84% success rate.",False
lawyer_vsherman,lawyer_11@gray.com,defaultpassword123,Property Law,Land Disputes,17,263,Peshawar,Hayatabad,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Special Tribunals,17132,67%,"Because economic around all north middle list. Page necessary customer during store. Central put American condition understand.

Specializing in land disputes cases in Peshawar. Handled 263+ cases with 67% success rate.",True
lawyer_lorileblanc,lawyer_12@stevens.com,defaultpassword123,Civil Rights,Police Brutality,9,352,Quetta,Samungli Road,"Sindhi (Basic), English (Fluent), Urdu (Native)","District Court, Special Tribunals",2827,65%,"Product wind we response wait possible. Drop issue particular work. Executive try appear common civil.
Cup move better start. Among girl prove star help live. Low increase clear social enter agent.

Specializing in police brutality cases in Quetta. Handled 352+ cases with 65% success rate.",True
lawyer_michael33,lawyer_13@clark-barnes.info,defaultpassword123,Property Law,Rental Issues,25,466,Islamabad,Blue Area,"Punjabi (Conversational), Urdu (Native), Pashto (Conversational)","District Court, Session Court",12478,84%,"Music information southern event successful military Democrat. Gun free close nearly compare.
Bag ask perform during. Position trouble draw campaign certainly. Maintain former bill woman against.

Specializing in rental issues cases in Islamabad. Handled 466+ cases with 84% success rate.",True
lawyer_rstone,lawyer_14@hensley.com,defaultpassword123,Immigration Law,Visas,23,219,Quetta,Samungli Road,"Punjabi (Conversational), Pashto (Conversational)","Session Court, Special Tribunals",19800,74%,"Doctor particularly since someone buy study. Show issue figure morning middle popular along.
Owner analysis very rich yet myself. Break when dark race husband simple. Water now level.

Specializing in visas cases in Quetta. Handled 219+ cases with 74% success rate.",True
lawyer_mjones,lawyer_15@olson-burke.com,defaultpassword123,Property Law,Land Disputes,5,406,Lahore,Model Town,"Sindhi (Basic), Urdu (Native), Punjabi (Conversational)","District Court, Session Court, High Court",5101,86%,"Opportunity affect good huge upon. Within network save although. Others but capital between sing. Try outside sister should sign.

Specializing in land disputes cases in Lahore. Handled 406+ cases with 86% success rate.",True
lawyer_xgonzalez,lawyer_16@mann.com,defaultpassword123,Property Law,Land Disputes,19,36,Peshawar,University Town,"Punjabi (Conversational), English (Fluent)","Special Tribunals, High Court",3014,71%,"Conference phone summer over race. Lot purpose miss church. Win democratic us let.

Specializing in land disputes cases in Peshawar. Handled 36+ cases with 71% success rate.",False
lawyer_alexander17,lawyer_17@west-mcpherson.com,defaultpassword123,Intellectual Property,Trademarks,5,326,Peshawar,University Town,"Punjabi (Conversational), Urdu (Native), Sindhi (Basic), Pashto (Conversational)",District Court,3848,93%,"Themselves save why specific yet. Night administration trouble enough common.
Kid build cost carry her ahead. Describe I remember nation.

Specializing in trademarks cases in Peshawar. Handled 326+ cases with 93% success rate.",True
lawyer_hannahmcclain,lawyer_18@jackson.com,defaultpassword123,Family Law,Child Custody,23,474,Karachi,Defence,"English (Fluent), Pashto (Conversational)","Session Court, Special Tribunals, District Court",9295,76%,"Argue serve wide learn hope chance. Turn gun tough sense. Available rise back follow fight focus TV.
All teach act raise fish nation assume.

Specializing in child custody cases in Karachi. Handled 474+ cases with 76% success rate.",False
lawyer_joshuaweaver,lawyer_19@robinson-hubbard.info,defaultpassword123,Family Law,Adoption,8,96,Lahore,Model Town,"English (Fluent), Punjabi (Conversational), Pashto (Conversational)","District Court, Special Tribunals, Session Court",3095,88%,"Baby meet whether attorney respond present. Help picture you. Treat guess identify actually trade eye ready movement.

Specializing in adoption cases in Lahore. Handled 96+ cases with 88% success rate.",False
lawyer_mccluremary,lawyer_20@mclaughlin-richardson.info,defaultpassword123,Civil Rights,Police Brutality,10,49,Islamabad,G-11,"English (Fluent), Punjabi (Conversational), Urdu (Native), Sindhi (Basic)",High Court,3198,84%,"Age near entire low job. Performance cover few stop scientist paper. Standard case no herself item blood.

Specializing in police brutality cases in Islamabad. Handled 49+ cases with 84% success rate.",False
